ip_away,h_away,r_away,er_away,bb_away,k_away,hr_away,era_away,p_away,s_away,name_away,personId_away,note_away,game_id,ip_home,h_home,r_home,er_home,bb_home,k_home,hr_home,era_home,p_home,s_home,name_home,personId_home,note_home,namefield_away,namefield_home
5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.80,75.0,46.0,Cole,543037.0,"(W, 1-0)",630851,5.1,6.0,4.0,4.0,4.0,11.0,1.0,6.75,99.0,62.0,Scherzer,453286.0,"(L, 0-1)",,
4.0,5.0,1.0,1.0,1.0,3.0,0.0,2.25,63.0,35.0,Cueto,456501.0,,631377,4.1,7.0,1.0,1.0,0.0,4.0,0.0,2.08,60.0,46.0,May,669160.0,,,
5.2,2.0,1.0,1.0,3.0,6.0,0.0,1.59,94.0,56.0,Márquez,608566.0,"(L, 0-1)",630941,6.0,2.0,0.0,0.0,4.0,9.0,0.0,0.0,108.0,64.0,Lynn,458681.0,"(W, 1-0)",,
4.2,4.0,3.0,3.0,3.0,4.0,1.0,5.79,97.0,54.0,Ryu,547943.0,,630966,4.0,7.0,6.0,6.0,1.0,4.0,1.0,13.5,80.0,54.0,"Morton, C",450203.0,"(L, 0-1)",,
5.2,5.0,3.0,3.0,3.0,7.0,2.0,4.76,99.0,61.0,Musgrove,605397.0,"(L, 0-1)",630989,7.0,6.0,2.0,2.0,0.0,6.0,0.0,2.57,89.0,62.0,Flaherty,656427.0,"(W, 1-0)",,
5.2,4.0,3.0,3.0,3.0,4.0,0.0,4.76,100.0,63.0,Bumgarner,518516.0,"(L, 0-1)",631091,6.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,81.0,63.0,Paddack,663978.0,"(W, 1-0)",,
6.2,3.0,2.0,1.0,2.0,7.0,1.0,1.35,87.0,56.0,"Alcantara, S",645261.0,"(W, 1-0)",631121,5.1,5.0,4.0,4.0,1.0,7.0,1.0,6.75,80.0,58.0,"Nola, Aa",605400.0,"(L, 0-1)",,
4.2,2.0,1.0,1.0,0.0,6.0,1.0,1.93,67.0,44.0,Heaney,571760.0,,631182,4.0,3.0,1.0,1.0,3.0,5.0,0.0,2.25,81.0,44.0,Montas,593423.0,,,
6.0,4.0,0.0,0.0,0.0,3.0,0.0,0.00,69.0,48.0,Soroka,647336.0,,631242,5.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,72.0,48.0,deGrom,594798.0,,,
1.2,3.0,2.0,2.0,3.0,0.0,1.0,10.80,38.0,19.0,Anderson,542881.0,"(L, 0-1)",631378,7.0,4.0,1.0,1.0,0.0,7.0,1.0,1.29,92.0,64.0,Stripling,548389.0,"(W, 1-0)",,
4.1,5.0,4.0,3.0,1.0,2.0,0.0,6.23,73.0,47.0,"Gonzales, M",594835.0,"(L, 0-1)",631438,6.0,3.0,2.0,2.0,1.0,7.0,2.0,3.0,73.0,48.0,Verlander,434378.0,"(W, 1-0)",,
4.0,7.0,5.0,5.0,1.0,1.0,1.0,11.25,75.0,52.0,Berríos,621244.0,,631514,3.2,6.0,7.0,7.0,3.0,3.0,2.0,17.18,80.0,51.0,Giolito,608337.0,"(L, 0-1)",,
4.1,3.0,2.0,2.0,0.0,2.0,0.0,4.15,65.0,40.0,"Duffy, D",518633.0,"(L, 0-1)",631563,6.0,4.0,0.0,0.0,1.0,14.0,0.0,0.0,97.0,62.0,Bieber,669456.0,"(W, 1-0)",,
5.0,6.0,4.0,4.0,2.0,2.0,1.0,7.20,88.0,53.0,Boyd,571510.0,"(L, 0-1)",631589,6.0,3.0,1.0,1.0,2.0,9.0,1.0,1.5,90.0,57.0,"Gray, So",543243.0,"(W, 1-0)",,
5.0,4.0,2.0,2.0,1.0,5.0,1.0,3.60,85.0,53.0,Woodruff,605540.0,"(L, 0-1)",631641,9.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,103.0,74.0,Hendricks,543294.0,"(W, 1-0)",,
